round,psnr_improvement,loss_std,bottleneck_variance,snr_diversity
2,2.96708607049073,0.00042102073108382074,2856.96,3.913555501304108
3,2.7492852607317673,0.00026978552048727777,2621.4399999999996,4.57930072381072
4,1.4808910292052957,0.0001355797176204711,6389.759999999999,4.9266495590033
5,0.8831459714162939,6.579168488251802e-05,2007.0400000000002,3.9693623865075613
6,-0.009232104360084037,3.480313828871531e-05,4669.44,5.350350724609036
7,0.6030594837064776,4.647316750900528e-05,6082.56,4.286914396385484
8,0.13427261615888142,4.087299061672215e-05,6389.76,4.875927371165395
9,0.1641095668106054,5.860354701708319e-05,2396.1600000000003,2.917375458971777
10,0.048014813225954356,4.339758829514955e-05,4669.44,4.967809357068091
