round,client_id,device_type,base_snr,current_snr,channel_variance,max_bottleneck_capability,bottleneck,epochs,loss,energy_level,compression_ratio,adaptation_factor
1,1,low_power,3.756708718274732,4.889730209499338,4.063141030835816,128,64,3,0.024262391512345778,0.43154199629409756,0.75,0.5
1,2,mid_range,12.21070348655473,6.902100609717801,5.588129557886634,256,144,3,0.02380138669434854,0.5105687028953024,0.4375,0.5625
1,3,mid_range,15.332286086450104,13.820505856383619,3.359949436760228,256,192,3,0.02498626138736633,0.8084136198565319,0.25,0.75
1,4,mid_range,13.89022928161947,10.837900977559624,5.513812717382455,256,192,3,0.02721477548944687,0.5743240945430985,0.25,0.75
1,5,low_power,13.265795479828247,15.558250848420254,4.8472186703494495,128,128,3,0.0226935632618919,0.6884927966297277,0.5,1.0
2,1,low_power,3.756708718274732,5.192618593226108,4.063141030835816,128,72,3,0.012279427667844098,0.43154199629409756,0.71875,0.5625
2,2,mid_range,12.21070348655473,16.59380395513603,5.588129557886634,256,192,3,0.01208122408327957,0.5105687028953024,0.25,0.75
2,3,mid_range,15.332286086450104,12.556556813141473,3.359949436760228,256,192,3,0.012350786489637933,0.8084136198565319,0.25,0.75
2,4,mid_range,13.89022928161947,13.029212354480599,5.513812717382455,256,192,3,0.012890711893722881,0.5743240945430985,0.25,0.75
2,5,low_power,13.265795479828247,8.707444086248227,4.8472186703494495,128,96,3,0.011588966887300333,0.6884927966297277,0.625,0.75
3,1,low_power,3.756708718274732,1.4702815400856526,4.063141030835816,128,64,3,0.008416084218751564,0.43154199629409756,0.75,0.5
3,2,mid_range,12.21070348655473,12.270555574037527,5.588129557886634,256,144,3,0.008177439456243487,0.5105687028953024,0.4375,0.5625
3,3,mid_range,15.332286086450104,12.150655682476245,3.359949436760228,256,192,3,0.008304286449505337,0.8084136198565319,0.25,0.75
3,4,mid_range,13.89022928161947,10.569123698338,5.513812717382455,256,192,3,0.008736275637288847,0.5743240945430985,0.25,0.75
3,5,low_power,13.265795479828247,14.718840770227718,4.8472186703494495,128,96,3,0.007918397337030904,0.6884927966297277,0.625,0.75
4,1,low_power,3.756708718274732,4.121915865925615,4.063141030835816,128,64,3,0.006295448331813137,0.43154199629409756,0.75,0.5
4,2,mid_range,12.21070348655473,9.086275440237161,5.588129557886634,256,144,3,0.006209042647952688,0.5105687028953024,0.4375,0.5625
4,3,mid_range,15.332286086450104,15.932142454971856,3.359949436760228,256,256,3,0.006248368540693118,0.8084136198565319,0.0,1.0
4,4,mid_range,13.89022928161947,17.302512455970792,5.513812717382455,256,256,3,0.006537803948891384,0.5743240945430985,0.0,1.0
4,5,low_power,13.265795479828247,8.48157862797002,4.8472186703494495,128,96,3,0.006140821902474651,0.6884927966297277,0.625,0.75
5,1,low_power,3.756708718274732,6.241882218557517,4.063141030835816,128,72,3,0.005276687456347258,0.43154199629409756,0.71875,0.5625
5,2,mid_range,12.21070348655473,14.4251607059857,5.588129557886634,256,144,3,0.005196723163254647,0.5105687028953024,0.4375,0.5625
5,3,mid_range,15.332286086450104,14.258785712353882,3.359949436760228,256,192,3,0.005187358819322939,0.8084136198565319,0.25,0.75
5,4,mid_range,13.89022928161947,10.090986250945944,5.513812717382455,256,192,3,0.005351147299003588,0.5743240945430985,0.25,0.75
5,5,low_power,13.265795479828247,17.698218959685327,4.8472186703494495,128,128,3,0.005182508482352595,0.6884927966297277,0.5,1.0
6,1,low_power,3.756708718274732,2.428829901444178,4.063141030835816,128,64,3,0.004751280301725529,0.43154199629409756,0.75,0.5
6,2,mid_range,12.21070348655473,7.659125506195553,5.588129557886634,256,144,3,0.004738914687553865,0.5105687028953024,0.4375,0.5625
6,3,mid_range,15.332286086450104,12.62226092142405,3.359949436760228,256,192,3,0.004657701418157025,0.8084136198565319,0.25,0.75
6,4,mid_range,13.89022928161947,17.722266994390232,5.513812717382455,256,256,3,0.00469474054135361,0.5743240945430985,0.0,1.0
6,5,low_power,13.265795479828247,14.27136099151394,4.8472186703494495,128,96,3,0.004684441034060376,0.6884927966297277,0.625,0.75
7,1,low_power,3.756708718274732,6.252519696016511,4.063141030835816,128,72,3,0.0044450822534567,0.43154199629409756,0.71875,0.5625
7,2,mid_range,12.21070348655473,14.778245461774393,5.588129557886634,256,144,3,0.004406594165464904,0.5105687028953024,0.4375,0.5625
7,3,mid_range,15.332286086450104,15.575735197406344,3.359949436760228,256,256,3,0.004336341597600144,0.8084136198565319,0.0,1.0
7,4,mid_range,13.89022928161947,19.10757271406661,5.513812717382455,256,256,3,0.004475264515836545,0.5743240945430985,0.0,1.0
7,5,low_power,13.265795479828247,12.088254610625661,4.8472186703494495,128,96,3,0.004418760463419669,0.6884927966297277,0.625,0.75
8,1,low_power,3.756708718274732,4.179605566668424,4.063141030835816,128,64,3,0.004329537074446274,0.43154199629409756,0.75,0.5
8,2,mid_range,12.21070348655473,15.892215368190495,5.588129557886634,256,192,3,0.004313620524453385,0.5105687028953024,0.25,0.75
8,3,mid_range,15.332286086450104,16.128726836852525,3.359949436760228,256,256,3,0.004219673908497581,0.8084136198565319,0.0,1.0
